"","Email","Password","Name","Age","Gender","Office","Department","Title"
"1","nw51@nittany.edu","r403d0qn","Dr Nann Wood",56,"M","256, Building 18","CSE","Head"
"2","nh89@nittany.edu","yzpp5f1t","Dr Norton Hughes",48,"F","212, Building 18","CSE","Professor"
"3","rr82@nittany.edu","1d7gjq5g","Dr Russell Richardson",53,"M","168, Building 7","CMPSC","Head"
"4","hl43@nittany.edu","rq02mf0g","Dr Halsey Lopez",52,"F","289, Building 7","CMPSC","Professor"
"5","ds51@nittany.edu","duf07wf7","Dr Dikembe Sanchez",47,"M","232, Building 7","CMPSC","Professor"
"6","fr23@nittany.edu","5p2ex4mp","Dr Freowine Rogers",47,"M","105, Building 7","CMPSC","Professor"
"7","dc80@nittany.edu","ususknvt","Dr Deshawn Cox",51,"M","187, Building 7","CMPSC","Professor"
"8","gb44@nittany.edu","bg3kzhnv","Dr Gil Bell",52,"M","284, Building 7","CMPSC","Professor"
"9","sc45@nittany.edu","4oioidlt","Dr Sheldon Cook",56,"M","253, Building 7","CMPSC","Professor"
"10","wc77@nittany.edu","gvaocvt1","Dr Walker Campbell",58,"M","126, Building 7","CMPSC","Professor"
"11","lt47@nittany.edu","c2hp2dd4","Dr Luca Torres",57,"F","188, Building 7","CMPSC","Professor"
"12","re79@nittany.edu","yqh493g3","Dr Royce Edwards",48,"M","261, Building 7","CMPSC","Professor"
"13","bb77@nittany.edu","wgqpqh2t","Dr Blas Butler",44,"F","228, Building 7","CMPSC","Professor"
"14","jm33@nittany.edu","wmb17np1","Dr Jerred Martinez",55,"F","239, Building 5","CMPEN","Head"
"15","wp45@nittany.edu","jqy2dgis","Dr Wincent Peterson",60,"F","160, Building 5","CMPEN","Professor"
"16","km14@nittany.edu","v9xe9cd3","Dr Kofi Myers",46,"M","222, Building 5","CMPEN","Professor"
"17","dw78@nittany.edu","6v7gf9s0","Dr Derwent White",59,"F","138, Building 5","CMPEN","Professor"
"18","bm79@nittany.edu","0p3ipgfz","Dr Beauregard Moore",59,"M","107, Building 5","CMPEN","Professor"
"19","hp75@nittany.edu","tqsaz0vp","Dr Halliwell Phillips",43,"M","124, Building 5","CMPEN","Professor"
"20","rc19@nittany.edu","sx0mkxzn","Dr Rich Collins",49,"M","142, Building 5","CMPEN","Professor"
"21","fp60@nittany.edu","jtoamzax","Dr Ford Price",56,"F","189, Building 5","CMPEN","Professor"
"22","mh50@nittany.edu","m18o3u41","Dr Merle Hill",60,"M","180, Building 13","EE","Head"
"23","tj11@nittany.edu","jxxciuc9","Dr Thatcher Jenkins",52,"M","296, Building 13","EE","Professor"
"24","aa18@nittany.edu","dc06u9nm","Dr Arlie Adams",60,"F","131, Building 13","EE","Professor"
"25","ab29@nittany.edu","s6ali6hq","Dr Aspen Brown",49,"F","276, Building 13","EE","Professor"
"26","rp45@nittany.edu","44j06cnw","Dr Raimy Perez",53,"M","152, Building 13","EE","Professor"
"27","cg89@nittany.edu","diy0nmdr","Dr Cassidy Gomez",44,"F","149, Building 13","EE","Professor"
"28","br31@nittany.edu","6cbbt7ot","Dr Baldwin Roberts",42,"F","293, Building 13","EE","Professor"
"29","sw32@nittany.edu","29cu0i4q","Dr Searles Williams",53,"F","219, Building 13","EE","Professor"
"30","kh18@nittany.edu","a4827x3j","Dr Karol Hodgson",46,"M","144, Building 13","EE","Professor"
"31","jc66@nittany.edu","55ycoqop","Dr Jackie Carpenter",47,"F","181, Building 12","MATH","Head"
"32","cy98@nittany.edu","l9q4tta8","Dr Casimiro Young",41,"F","277, Building 12","MATH","Professor"
"33","vh43@nittany.edu","tslak1a6","Dr Virginia Hines",45,"F","268, Building 12","MATH","Professor"
"34","bh63@nittany.edu","d1uz3aya","Dr Bethel Hawkins",44,"M","294, Building 12","MATH","Professor"
"35","ar69@nittany.edu","mpe2olmx","Dr Addai Reyes",48,"F","174, Building 8","PHYS","Head"
"36","em34@nittany.edu","ebtz2fob","Dr Erasmo Martin",50,"F","127, Building 8","PHYS","Professor"
"37","mp11@nittany.edu","2koidnt2","Dr Mikelle Parry",41,"M","182, Building 8","PHYS","Professor"
"38","bs39@nittany.edu","845bd92l","Dr Buddy Sutherland",57,"M","175, Building 8","PHYS","Professor"
"39","as52@nittany.edu","owq94wfe","Dr Adan Senior",57,"F","110, Building 14","STAT","Head"
"40","cj88@nittany.edu","rlj07keq","Dr Cavan Jacobs",56,"M","156, Building 14","STAT","Professor"
"41","cp54@nittany.edu","x26uaxzr","Dr Carlyle Peters",42,"M","227, Building 14","STAT","Professor"
"42","rf73@nittany.edu","gusbe091","Dr Roy Fuller",41,"M","104, Building 14","STAT","Professor"
"43","lg14@nittany.edu","zrcwnnrz","Dr Lexis Gardner",46,"F","206, Building 15","ECON","Head"
"44","wm35@nittany.edu","9ozcn0sr","Dr Welborn Mitchell",55,"M","236, Building 15","ECON","Professor"
